,id,neighbourhood_cleansed,room_type,zipcode,latitude,longitude,property_type,price,number_of_reviews,review_scores_rating,reviews_per_month,square_feet,potential_annual_revenue,Zillow_Avg_Value,yield,rent_squre_foot
98,1566487,Minor,Entire home/apt,98144.0,47.60308859,-122.30523400000001,Apartment,79.0,104,95.0,3.62,0.0,9515.550000000001,707000.0,1.35,0.0
99,8372562,Leschi,Entire home/apt,98144.0,47.59680105,-122.2884614,House,279.0,1,100.0,1.0,0.0,33605.55,707000.0,4.75,0.0
100,8866960,Leschi,Private room,98144.0,47.596318,-122.29664679999999,Townhouse,55.0,3,90.0,1.27,0.0,6624.75,707000.0,0.94,0.0
101,8953857,Leschi,Entire home/apt,98144.0,47.59620078,-122.29080420000001,House,129.0,0,0.0,0.0,0.0,15538.050000000001,707000.0,2.2,0.0
102,7093738,Leschi,Private room,98144.0,47.59515432,-122.2966662,House,90.0,1,100.0,0.23,0.0,10840.5,707000.0,1.53,0.0
103,1818754,Leschi,Entire home/apt,98144.0,47.59266596,-122.2975618,House,200.0,0,0.0,0.0,0.0,24090.0,707000.0,3.41,0.0
104,74328,Leschi,Entire home/apt,98144.0,47.60238656,-122.29534699999999,Apartment,92.0,53,93.0,0.95,0.0,11081.4,707000.0,1.57,0.0
105,6728017,Leschi,Entire home/apt,98144.0,47.59526163,-122.29721289999999,House,257.0,1,100.0,0.2,0.0,30955.65,707000.0,4.38,0.0
106,2515795,Leschi,Entire home/apt,98144.0,47.59431107,-122.29440840000001,House,200.0,22,94.0,1.3,0.0,24090.0,707000.0,3.41,0.0
107,7093910,Leschi,Private room,98144.0,47.59537123,-122.2967295,House,80.0,2,60.0,0.46,0.0,9636.0,707000.0,1.36,0.0
108,7941079,Leschi,Private room,98144.0,47.59259852,-122.2955471,House,65.0,7,100.0,1.54,0.0,7829.25,707000.0,1.11,0.0
109,1442973,Leschi,Entire home/apt,98144.0,47.59206643,-122.2935655,House,105.0,14,97.0,0.5,0.0,12647.25,707000.0,1.79,0.0
110,5859152,Leschi,Private room,98144.0,47.59172642,-122.2959851,House,59.0,15,95.0,3.31,0.0,7106.55,707000.0,1.01,0.0
111,8555794,Leschi,Private room,98144.0,47.59482904,-122.29563200000001,Townhouse,75.0,0,0.0,0.0,0.0,9033.75,707000.0,1.28,0.0
112,2112625,Leschi,Private room,98144.0,47.59394152,-122.29108799999999,House,56.0,18,98.0,0.75,0.0,6745.200000000001,707000.0,0.95,0.0
113,8814802,Leschi,Private room,98144.0,47.60070745,-122.2932732,House,100.0,0,0.0,0.0,0.0,12045.0,707000.0,1.7,0.0
114,319768,Leschi,Entire home/apt,98144.0,47.5957085,-122.2975686,House,135.0,5,100.0,0.11,0.0,16260.75,707000.0,2.3,0.0
115,3691288,Leschi,Entire home/apt,98144.0,47.59708807,-122.29739479999999,House,163.0,5,100.0,2.83,0.0,19633.350000000002,707000.0,2.78,0.0
116,8703557,Leschi,Private room,98144.0,47.59880163,-122.29247609999999,House,83.0,0,0.0,0.0,0.0,9997.35,707000.0,1.41,0.0
117,8525338,Leschi,Entire home/apt,98144.0,47.5944386,-122.2938703,Townhouse,210.0,0,0.0,0.0,0.0,25294.5,707000.0,3.58,0.0
118,1455908,Leschi,Entire home/apt,98144.0,47.60568442,-122.2953598,House,135.0,32,97.0,1.13,0.0,16260.75,707000.0,2.3,0.0
